[2016-03-30 13:19:53] Debug: I'm runing!
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-03-30 13:19:55] Fatal: 未知协议: D:\C02_OtherProj\太重合作开发SCADA\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:48] Debug: I'm runing!
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
